date,year,month,day,weekday,hour,demand,temperature
12/3/2004,2004,12,3,6,9,16941,32
12/3/2004,2004,12,3,6,10,16933,33
12/3/2004,2004,12,3,6,11,16790,35
12/3/2004,2004,12,3,6,12,16579,38
12/3/2004,2004,12,3,6,13,16297,41
12/3/2004,2004,12,3,6,14,16220,42
12/3/2004,2004,12,3,6,15,16142,41
12/3/2004,2004,12,3,6,16,16366,39
12/3/2004,2004,12,3,6,17,17593,39
12/3/2004,2004,12,3,6,18,18419,38
12/3/2004,2004,12,3,6,19,18134,36
12/3/2004,2004,12,3,6,20,17612,35
12/3/2004,2004,12,3,6,21,17027,34
12/3/2004,2004,12,3,6,22,16162,33
12/3/2004,2004,12,3,6,23,14856,33
12/3/2004,2004,12,3,6,24,13422,31
12/4/2004,2004,12,4,7,1,12371,31
12/4/2004,2004,12,4,7,2,11771,30
12/4/2004,2004,12,4,7,3,11498,29
12/4/2004,2004,12,4,7,4,11424,29
12/4/2004,2004,12,4,7,5,11551,28
12/4/2004,2004,12,4,7,6,12043,28
12/4/2004,2004,12,4,7,7,12994,27
12/4/2004,2004,12,4,7,8,13994,26
12/4/2004,2004,12,4,7,9,14989,26
12/4/2004,2004,12,4,7,10,15451,29
12/4/2004,2004,12,4,7,11,15465,31
12/4/2004,2004,12,4,7,12,15267,33
12/4/2004,2004,12,4,7,13,14885,34
12/4/2004,2004,12,4,7,14,14598,35
12/4/2004,2004,12,4,7,15,14401,37
12/4/2004,2004,12,4,7,16,14636,37
12/4/2004,2004,12,4,7,17,16260,35
12/4/2004,2004,12,4,7,18,17416,34
12/4/2004,2004,12,4,7,19,17187,34
12/4/2004,2004,12,4,7,20,16678,35
12/4/2004,2004,12,4,7,21,16153,35
12/4/2004,2004,12,4,7,22,15383,35
12/4/2004,2004,12,4,7,23,14255,37
12/4/2004,2004,12,4,7,24,12979,37
12/5/2004,2004,12,5,1,1,11914,38
12/5/2004,2004,12,5,1,2,11235,38
12/5/2004,2004,12,5,1,3,10871,39
12/5/2004,2004,12,5,1,4,10709,39
12/5/2004,2004,12,5,1,5,10737,39
12/5/2004,2004,12,5,1,6,11027,39
12/5/2004,2004,12,5,1,7,11610,38
12/5/2004,2004,12,5,1,8,12257,38
12/5/2004,2004,12,5,1,9,13241,39
12/5/2004,2004,12,5,1,10,13895,42
12/5/2004,2004,12,5,1,11,14131,45
12/5/2004,2004,12,5,1,12,14202,47
12/5/2004,2004,12,5,1,13,14184,47
12/5/2004,2004,12,5,1,14,14016,47
12/5/2004,2004,12,5,1,15,13909,46
12/5/2004,2004,12,5,1,16,14211,44
12/5/2004,2004,12,5,1,17,15986,42
12/5/2004,2004,12,5,1,18,17481,39
12/5/2004,2004,12,5,1,19,17526,37
12/5/2004,2004,12,5,1,20,17239,35
12/5/2004,2004,12,5,1,21,16678,33
12/5/2004,2004,12,5,1,22,15596,32
12/5/2004,2004,12,5,1,23,14142,30
12/5/2004,2004,12,5,1,24,12835,28
12/6/2004,2004,12,6,2,1,11958,27
12/6/2004,2004,12,6,2,2,11582,26
12/6/2004,2004,12,6,2,3,11497,25
12/6/2004,2004,12,6,2,4,11555,24
