date,year,month,day,weekday,hour,demand
1/20/2018,2018,1,20,7,17,5873
1/20/2018,2018,1,20,7,18,7439
1/20/2018,2018,1,20,7,19,7503.5
1/20/2018,2018,1,20,7,20,7568
1/20/2018,2018,1,20,7,21,7521
1/20/2018,2018,1,20,7,22,6941
1/20/2018,2018,1,20,7,23,6271
1/21/2018,2018,1,21,1,0,5860
1/21/2018,2018,1,21,1,1,5264
1/21/2018,2018,1,21,1,2,5125
1/21/2018,2018,1,21,1,3,4890
1/21/2018,2018,1,21,1,4,4769
1/21/2018,2018,1,21,1,5,4731
1/21/2018,2018,1,21,1,6,4947
1/21/2018,2018,1,21,1,7,5481
1/21/2018,2018,1,21,1,8,5865
1/21/2018,2018,1,21,1,9,6217
1/21/2018,2018,1,21,1,10,6000
1/21/2018,2018,1,21,1,11,5984
1/21/2018,2018,1,21,1,12,6143
1/21/2018,2018,1,21,1,13,6109
1/21/2018,2018,1,21,1,14,5956
1/21/2018,2018,1,21,1,15,5273
1/21/2018,2018,1,21,1,16,5685
1/21/2018,2018,1,21,1,17,6148
1/21/2018,2018,1,21,1,18,7110
1/21/2018,2018,1,21,1,19,7426
1/21/2018,2018,1,21,1,20,7742
1/21/2018,2018,1,21,1,21,7510
1/21/2018,2018,1,21,1,22,7018
1/21/2018,2018,1,21,1,23,6365
1/22/2018,2018,1,22,2,0,5816
1/22/2018,2018,1,22,2,1,5352
1/22/2018,2018,1,22,2,2,5031
1/22/2018,2018,1,22,2,3,4959
1/22/2018,2018,1,22,2,4,4751
1/22/2018,2018,1,22,2,5,4715
1/22/2018,2018,1,22,2,6,4946
1/22/2018,2018,1,22,2,7,5320
1/22/2018,2018,1,22,2,8,6009
1/22/2018,2018,1,22,2,9,6352
1/22/2018,2018,1,22,2,10,6320
1/22/2018,2018,1,22,2,11,6292
1/22/2018,2018,1,22,2,12,6369
1/22/2018,2018,1,22,2,13,6336
1/22/2018,2018,1,22,2,14,5959
1/22/2018,2018,1,22,2,15,6057
1/22/2018,2018,1,22,2,16,5977
1/22/2018,2018,1,22,2,17,6091
1/22/2018,2018,1,22,2,18,7434
1/22/2018,2018,1,22,2,19,7622
1/22/2018,2018,1,22,2,20,7810
1/22/2018,2018,1,22,2,21,7642
1/22/2018,2018,1,22,2,22,7076
1/22/2018,2018,1,22,2,23,6368
1/23/2018,2018,1,23,3,0,5938
1/23/2018,2018,1,23,3,1,5370
1/23/2018,2018,1,23,3,2,5073
1/23/2018,2018,1,23,3,3,4943
1/23/2018,2018,1,23,3,4,4690
1/23/2018,2018,1,23,3,5,4795
1/23/2018,2018,1,23,3,6,5010
1/23/2018,2018,1,23,3,7,5589
1/23/2018,2018,1,23,3,8,6014
1/23/2018,2018,1,23,3,9,6304
1/23/2018,2018,1,23,3,10,6121
1/23/2018,2018,1,23,3,11,6064
1/23/2018,2018,1,23,3,12,6162
1/23/2018,2018,1,23,3,13,6394
1/23/2018,2018,1,23,3,14,5972
1/23/2018,2018,1,23,3,15,6113
1/23/2018,2018,1,23,3,16,5984
1/23/2018,2018,1,23,3,17,6250
1/23/2018,2018,1,23,3,18,7300
1/23/2018,2018,1,23,3,19,7582
1/23/2018,2018,1,23,3,20,7864
1/23/2018,2018,1,23,3,21,7621
1/23/2018,2018,1,23,3,22,7205
1/23/2018,2018,1,23,3,23,6571
1/24/2018,2018,1,24,4,0,5915
1/24/2018,2018,1,24,4,1,5456
1/24/2018,2018,1,24,4,2,5200
1/24/2018,2018,1,24,4,3,5013
1/24/2018,2018,1,24,4,4,4962
1/24/2018,2018,1,24,4,5,4889
1/24/2018,2018,1,24,4,6,5093
1/24/2018,2018,1,24,4,7,5737
1/24/2018,2018,1,24,4,8,6184
1/24/2018,2018,1,24,4,9,6493
1/24/2018,2018,1,24,4,10,6337
1/24/2018,2018,1,24,4,11,6266
1/24/2018,2018,1,24,4,12,6309
1/24/2018,2018,1,24,4,13,6372
1/24/2018,2018,1,24,4,14,6121
1/24/2018,2018,1,24,4,15,6234
1/24/2018,2018,1,24,4,16,6088
1/24/2018,2018,1,24,4,17,6329
1/24/2018,2018,1,24,4,18,7293
1/24/2018,2018,1,24,4,19,7598.5
1/24/2018,2018,1,24,4,20,7904
1/24/2018,2018,1,24,4,21,7767
1/24/2018,2018,1,24,4,22,7299
1/24/2018,2018,1,24,4,23,6607
1/25/2018,2018,1,25,5,0,6054
1/25/2018,2018,1,25,5,1,5483
1/25/2018,2018,1,25,5,2,5339
1/25/2018,2018,1,25,5,3,5146
1/25/2018,2018,1,25,5,4,4900
1/25/2018,2018,1,25,5,5,5032
1/25/2018,2018,1,25,5,6,5276
1/25/2018,2018,1,25,5,7,5844
1/25/2018,2018,1,25,5,8,6280
1/25/2018,2018,1,25,5,9,6542
1/25/2018,2018,1,25,5,10,6471
1/25/2018,2018,1,25,5,11,6425
1/25/2018,2018,1,25,5,12,6489
1/25/2018,2018,1,25,5,13,6340
1/25/2018,2018,1,25,5,14,6149
1/25/2018,2018,1,25,5,15,6274
1/25/2018,2018,1,25,5,16,6176
1/25/2018,2018,1,25,5,17,6295
1/25/2018,2018,1,25,5,18,7520
1/25/2018,2018,1,25,5,19,7765
1/25/2018,2018,1,25,5,20,8010
1/25/2018,2018,1,25,5,21,7912
1/25/2018,2018,1,25,5,22,7322
1/25/2018,2018,1,25,5,23,6596
1/26/2018,2018,1,26,6,0,6018
1/26/2018,2018,1,26,6,1,5558
1/26/2018,2018,1,26,6,2,5285
1/26/2018,2018,1,26,6,3,5197
1/26/2018,2018,1,26,6,4,4785
1/26/2018,2018,1,26,6,5,4907
1/26/2018,2018,1,26,6,6,5078
1/26/2018,2018,1,26,6,7,5378
1/26/2018,2018,1,26,6,8,5774
1/26/2018,2018,1,26,6,9,5644
1/26/2018,2018,1,26,6,10,5449
1/26/2018,2018,1,26,6,11,5362
1/26/2018,2018,1,26,6,12,5447
1/26/2018,2018,1,26,6,13,5572
1/26/2018,2018,1,26,6,14,5045
1/26/2018,2018,1,26,6,15,5015
1/26/2018,2018,1,26,6,16,5020
1/26/2018,2018,1,26,6,17,5153
1/26/2018,2018,1,26,6,18,6418
1/26/2018,2018,1,26,6,19,6851.5
1/26/2018,2018,1,26,6,20,7285
1/26/2018,2018,1,26,6,21,7113
1/26/2018,2018,1,26,6,22,6630
1/26/2018,2018,1,26,6,23,6245
1/27/2018,2018,1,27,7,0,5457
1/27/2018,2018,1,27,7,1,5059
1/27/2018,2018,1,27,7,2,4879
1/27/2018,2018,1,27,7,3,4684
1/27/2018,2018,1,27,7,4,4619
1/27/2018,2018,1,27,7,5,4583
1/27/2018,2018,1,27,7,6,4916
1/27/2018,2018,1,27,7,7,5475
1/27/2018,2018,1,27,7,8,5964
1/27/2018,2018,1,27,7,9,6180
1/27/2018,2018,1,27,7,10,5891
1/27/2018,2018,1,27,7,11,5770
1/27/2018,2018,1,27,7,12,5872
1/27/2018,2018,1,27,7,13,6102
1/27/2018,2018,1,27,7,14,5733
1/27/2018,2018,1,27,7,15,5831
1/27/2018,2018,1,27,7,16,5830
1/27/2018,2018,1,27,7,17,6076
1/27/2018,2018,1,27,7,18,7438
1/27/2018,2018,1,27,7,19,7722.5
1/27/2018,2018,1,27,7,20,8007
1/27/2018,2018,1,27,7,21,7780
1/27/2018,2018,1,27,7,22,7176
1/27/2018,2018,1,27,7,23,6358
1/28/2018,2018,1,28,1,0,5792
1/28/2018,2018,1,28,1,1,5492
1/28/2018,2018,1,28,1,2,5139
1/28/2018,2018,1,28,1,3,5000
1/28/2018,2018,1,28,1,4,4818
1/28/2018,2018,1,28,1,5,4912
1/28/2018,2018,1,28,1,6,5056
1/28/2018,2018,1,28,1,7,5677
1/28/2018,2018,1,28,1,8,6173
1/28/2018,2018,1,28,1,9,6498
1/28/2018,2018,1,28,1,10,6480
1/28/2018,2018,1,28,1,11,6316
